Column,reference,text,name,normalized,cluster_key_collision,cluster_levenshtein,cluster_levenshtein_radius2,cluster_levenshtein_block5
1048,367:007, m.ha-an-ni DUMU m.ma-i-ri-ia, m.ha-an-ni, m.ha-an-ni, m.ha-an-ni, m.ha-an-ni, m.ha-an-ni, m.ha-an-i
1049,367:007, m.ha-an-ni DUMU m.ma-i-ri-ia, m.ma-i-ri-ia, m.ma-i-ri-ia, m.ma-i-ri-ia, m.ma-i-ri-ia, m.ma-i-ri-ia, m.ma-i-ri-ia
1050,369:001, a-na m.mil-ki-li {LÚ} URU.gaz-r[i], m.mil-ki-li, m.mil-ki-li, m.mil-ki-li, m.mil-ki-li, m.mil-ki-li, m.mil-ki-li
1051,369:005, um-te-$e-ra-ak-ku m.ha-an-ia, m.ha-an-ia, m.ha-an-ia, m.ha-an-ia, m.ha-an-i, m.ha-an-i, m.ha-an-i
1052,369:008, f.DÉ \ $a-qí-tum SIG5, f.DÉ, f.DÉ, f.DÉ, f.DÉ, f.DÉ, f.DÉ
1053,369:013, $U.NÍGIN-ma f.DÉ 40, f.DÉ, f.DÉ, f.DÉ, f.DÉ, f.DÉ, f.DÉ
1054,369:014, 40 KÙ.BABBAR $ÁM f.DÉ.MEß, f.DÉ.MEß, f.DÉ.MEŠ, f.DÉ.MEŠ, f.DÉ.MEŠ, f.DÉ.MEŠ, f.DÉ.MEŠ
1055,369:015, ù {u$}-$i!-ra f.DÉ.MEß, f.DÉ.MEß, f.DÉ.MEŠ, f.DÉ.MEŠ, f.DÉ.MEŠ, f.DÉ.MEŠ, f.DÉ.MEŠ
1056,370:001, a-na m.i-dì-ia LÚ URU.a$-qá-lu-n[a.K]I, m.i-dì-ia, m.i-dì-ia, m.i-dì-ia, m.i-dì-ia, m.i-dì-ia, m.i-dì-ia
1057,370:008, m.i-ri-ia-ma[-a$-$a], m.i-ri-ia-ma[-a$-$a], m.i-ri-ia-ma-aš-ša, m.i-ri-ia-ma-aš-ša, m.i-ri-ia-ma-aš-ša, m.i-ri-ia-ma-aš-ša, m.i-ri-ia-ma-aš-ša
1058,378:003, [AN]{sa}-mì-i [um]-{ma} m.ia[-pa-hi], m.ia[-pa-hi], m.ia-pa-hi, m.ia-pa-hi, m.ia-pa-hi, m.ia-pa-hi, m.ia-pa-
